"id","artista_id/id","cache","consumacao","cortesias","create_uid/id","create_date","data_extra_combinada","data","detalhes_consumacao","estilo_musical","festa_id/id","horario_passagem","horario_inicio","horario_termino","lanches","write_uid/id","write_date","local","cache_ext","responsavel_id/id","tipo_artista"
"__export__.atracao_34","__export__.artista_22","0.0","Padrão","0","base.user_root","2017-10-30 13:02:39","False","2017-11-09","","funk","__export__.evento_18","0.0","3.0","5.0","1","base.user_root","2017-10-30 13:02:39","Cultural","","","dj"
"__export__.atracao_33","__export__.artista_1","200.0","Padrão","1","base.user_root","2017-10-30 13:02:39","False","2017-11-09","","funk","__export__.evento_18","0.0","1.0","3.0","1","base.user_root","2017-10-30 13:02:39","Cultural","","","dj"
"__export__.atracao_32","__export__.artista_21","600.0","Padrão","0","base.user_root","2017-10-26 07:04:16","False","2017-10-26","","pagode","__export__.evento_15","22.0","2.0","4.0","6","base.user_root","2017-10-26 07:04:16","Cultural","seiscentos","","banda"
"__export__.atracao_31","__export__.artista_20","0.0","Padrão","0","base.user_root","2017-10-18 21:35:29","False","2017-11-25","","pagode","__export__.evento_23","0.0","0.0","0.0","4","base.user_root","2017-10-18 21:35:29","Pista","","","banda"
"__export__.atracao_30","__export__.artista_4","200.0","Padrão","0","base.user_root","2017-10-18 21:07:48","False","2017-11-23","","pop","__export__.evento_21","0.0","2.0","4.0","1","base.user_root","2017-10-18 21:07:48","Cultural","","","dj"
"__export__.atracao_29","__export__.artista_16","200.0","Padrão","0","base.user_root","2017-09-20 22:22:07","False","2017-10-05","","funk_eletronico","__export__.evento_19","0.0","3.0","5.0","0","base.user_root","2017-10-14 10:08:27","Cultural","","","dj"
"__export__.atracao_28","__export__.artista_3","100.0","Padrão","0","base.user_root","2017-09-20 22:22:07","False","2017-10-05","","funk_eletronico","__export__.evento_19","0.0","1.0","3.0","2","base.user_root","2017-10-14 10:08:27","Cultural","","__export__.responsavel_1","dj"
"__export__.atracao_27","","0.0","","0","base.user_root","2017-09-17 22:57:32","False","2017-12-14","","","__export__.evento_7","0.0","0.0","0.0","0","base.user_root","2017-10-30 16:01:24","Cultural","","",""
"__export__.atracao_26","__export__.artista_18","0.0","","0","base.user_root","2017-09-17 22:12:33","False","2017-10-20","","sertanejo","__export__.evento_11","0.0","4.0","6.0","0","base.user_root","2017-10-20 14:53:35","Pista","","","banda"
"__export__.atracao_25","__export__.artista_17","0.0","","0","base.user_root","2017-09-17 22:07:57","False","2017-10-07","","samba_rock","__export__.evento_8","0.0","0.0","0.0","0","base.user_root","2017-10-14 10:08:27","Pista","","","banda"
"__export__.atracao_24","__export__.artista_16","200.0","","0","base.user_root","2017-09-17 21:10:01","False","2017-11-14","","funk_eletronico","__export__.evento_16","0.0","23.0","1.0","0","base.user_root","2017-10-14 10:08:27","Cultural","","","dj"
"__export__.atracao_23","__export__.artista_12","1300.0","","0","base.user_root","2017-09-17 21:10:01","False","2017-11-14","","funk_eletronico","__export__.evento_16","0.0","1.5","3.5","1","base.user_root","2017-10-14 10:08:27","Pista","","","dj"
"__export__.atracao_22","__export__.artista_15","0.0","","0","base.user_root","2017-09-17 20:29:18","False","2017-11-11","","axe","__export__.evento_14","0.0","0.0","0.0","0","base.user_root","2017-10-14 10:08:27","Pista","","","banda"
"__export__.atracao_21","__export__.artista_13","425.0","","0","base.user_root","2017-09-17 20:19:12","False","2017-09-21","","rock","__export__.evento_6","0.0","2.0","4.0","0","base.user_root","2017-10-14 10:08:27","Cultural","","__export__.responsavel_7","banda"
"__export__.atracao_20","__export__.artista_3","100.0","","0","base.user_root","2017-09-17 20:16:59","False","2017-09-16","","funk_eletronico","__export__.evento_3","0.0","4.0","5.5","2","base.user_root","2017-10-14 10:08:27","Pista","","","dj"
"__export__.atracao_19","__export__.artista_3","50.0","","0","base.user_root","2017-09-17 20:16:59","False","2017-09-16","","funk_eletronico","__export__.evento_3","0.0","1.0","2.0","2","base.user_root","2017-10-14 10:08:27","Pista","","","dj"
"__export__.atracao_18","__export__.artista_12","1300.0","","0","base.user_root","2017-09-17 20:16:59","False","2017-09-16","","funk_eletronico","__export__.evento_3","0.0","2.0","4.0","1","base.user_root","2017-10-14 10:08:27","Pista","","","dj"
"__export__.atracao_17","__export__.artista_3","100.0","","0","base.user_root","2017-09-06 23:05:13","False","2017-10-31","","funk_eletronico","__export__.evento_12","0.0","23.0","1.0","2","base.user_root","2017-10-30 13:21:09","Cultural","","","dj"
"__export__.atracao_16","__export__.artista_8","1850.0","","0","base.user_root","2017-09-06 23:05:13","False","2017-10-31","","rock","__export__.evento_12","0.0","1.5","3.5","0","base.user_root","2017-10-30 13:21:09","Cultural","mil oitocentos e cinquenta","","banda"
"__export__.atracao_15","__export__.artista_7","200.0","","0","base.user_root","2017-09-06 22:48:09","False","2017-12-02","","eletronico","__export__.evento_13","0.0","0.0","1.5","0","base.user_root","2017-10-14 10:08:27","Pista","","","dj"
"__export__.atracao_14","__export__.artista_10","0.0","","0","base.user_root","2017-09-06 22:25:43","False","2017-12-02","","funk","__export__.evento_13","0.0","5.0","6.0","0","base.user_root","2017-10-14 10:08:27","Pista","","","dj"
"__export__.atracao_13","__export__.artista_9","2350.0","","0","base.user_root","2017-09-06 22:21:57","False","2017-12-02","","axe","__export__.evento_13","0.0","1.5","3.5","0","base.user_root","2017-10-14 10:08:27","Pista","","","banda"
"__export__.atracao_12","__export__.artista_11","300.0","","0","base.user_root","2017-09-06 22:14:49","False","2017-10-20","","funk_eletronico","__export__.evento_11","0.0","1.0","3.5","0","base.user_root","2017-10-20 14:53:35","Cultural","trezentos","","dj"
"__export__.atracao_11","__export__.artista_14","0.0","","0","base.user_root","2017-09-05 23:48:10","False","2017-10-07","","","__export__.evento_8","0.0","0.0","0.0","0","base.user_root","2017-10-14 10:08:27","Pista","","","banda"
"__export__.atracao_9","__export__.artista_7","0.0","","0","base.user_root","2017-09-05 23:22:41","False","2017-12-02","","eletronico","__export__.evento_13","0.0","4.5","6.0","0","base.user_root","2017-10-14 10:08:27","Cultural","","","dj"
"__export__.atracao_8","","0.0","","0","base.user_root","2017-09-05 23:22:41","False","2017-12-02","","","__export__.evento_13","0.0","0.0","0.0","0","base.user_root","2017-10-14 10:08:27","Cultural","","",""
"__export__.atracao_7","__export__.artista_5","8000.0","","0","base.user_root","2017-09-05 23:09:27","False","2017-12-02","","funk","__export__.evento_13","0.0","3.75","4.75","1","base.user_root","2017-10-14 10:08:27","Pista","","","dj"
"__export__.atracao_6","__export__.artista_6","3500.0","","0","base.user_root","2017-09-05 22:58:23","False","2017-10-20","","sertanejo","__export__.evento_11","22.0","2.0","4.0","4","base.user_root","2017-10-20 14:53:35","Pista","três mil e quinhentos","","banda"
"__export__.atracao_4","__export__.artista_4","150.0","","0","base.user_root","2017-09-05 22:02:42","False","2017-09-14","","pop","__export__.evento_4","0.0","1.0","4.0","1","base.user_root","2017-10-14 10:08:27","Cultural","","","dj"
"__export__.atracao_2","__export__.artista_2","350.0","","4","base.user_root","2017-09-05 21:59:04","False","2017-09-28","","samba_rock","__export__.evento_2","0.0","2.0","4.0","4","base.user_root","2017-10-14 10:08:27","Cultural","","","banda"
"__export__.atracao_1","__export__.artista_1","200.0","","1","base.user_root","2017-09-03 11:49:04","False","","","funk","","0.0","1.0","3.0","1","base.user_root","2017-10-14 10:08:27","Pista","","","dj"
